SEX,AGE,ANCESTRY,BlackOlives,GreenOlives,BlueCheese,Avocados,GoatCheese,GlobeArtichoke,SoftCheese,Aubergine,Capers,Asparagus
0,50,CSA,7,9,6,9,6,7,9,9,8,9
1,51,AMR,9,9,5,9,9,9,9,8,8,9
1,41,CSA,8,9,2,8,6,5,6,9,5,9
0,55,CSA,9,8,1,9,3,7,9,9,5,6
1,45,AFR,4,6,2,7,2,1,2,3,5,1
0,64,EAS,5,8,5,6,8,5,5,6,3,5
0,40,AMR,9,9,1,5,9,9,7,5,5,9
0,61,CSA,9,9,5,9,5,5,9,9,5,9
0,56,EAS,1,1,1,5,1,1,5,9,5,7
0,56,EAS,8,9,7,9,5,5,7,8,5,9
1,49,CSA,9,8,7,8,6,2,6,8,4,7
1,65,EAS,8,8,7,6,2,6,8,6,7,8
0,56,AMR,8,7,8,9,8,9,6,6,5,9
0,50,MID,8,9,6,9,8,9,9,9,8,9
0,57,CSA,9,9,2,9,4,7,6,9,1,9
0,57,CSA,7,9,1,9,9,9,9,9,6,9
0,42,AFR,8,8,5,8,4,1,7,8,1,5
1,54,AFR,9,9,7,9,8,5,7,8,8,9
0,59,EAS,7,5,6,7,7,7,6,8,6,7
0,55,AMR,7,9,1,9,6,9,6,9,7,9
0,55,AFR,9,9,9,9,8,6,2,3,6,9
0,53,AFR,6,6,7,9,8,5,9,7,7,9
0,66,AMR,9,7,6,8,1,6,6,7,7,9
1,47,CSA,9,9,7,7,7,5,7,7,7,7
1,50,CSA,8,8,8,7,8,7,8,7,5,8
0,46,CSA,9,9,5,9,9,9,7,9,5,9
0,51,AFR,9,8,7,9,9,8,7,9,1,4
1,56,AFR,3,3,1,8,1,2,5,6,1,3
0,47,EAS,9,8,9,8,9,9,9,7,7,9
1,53,AFR,8,7,1,8,8,5,7,6,6,7
0,42,CSA,5,5,1,9,2,5,2,7,6,8
0,47,AFR,9,8,8,8,5,9,8,9,7,8
1,40,CSA,9,9,9,9,9,9,9,9,9,9
1,53,CSA,8,8,3,8,7,5,4,7,5,8
1,64,AMR,7,7,8,8,8,8,8,7,6,8
1,59,CSA,8,8,7,8,8,8,7,8,8,8
0,53,AFR,7,8,7,8,5,5,5,8,6,9
0,64,AMR,9,9,5,9,9,5,9,9,6,9
0,51,MID,6,6,1,9,1,5,1,4,5,5
0,56,EAS,7,7,8,9,6,7,8,9,6,6
1,67,CSA,7,6,7,7,8,7,6,9,5,8
1,53,CSA,5,5,6,3,6,4,6,7,7,4
0,46,AFR,8,7,2,7,5,5,6,6,7,9
0,55,CSA,7,8,5,5,1,5,3,7,7,8
1,65,CSA,9,9,9,9,5,7,9,8,9,9
1,57,CSA,6,6,6,6,6,1,6,6,1,6
0,46,EAS,9,9,6,9,9,6,6,9,6,9
0,63,EAS,9,9,1,9,3,7,6,9,5,9
1,51,CSA,6,3,1,9,2,1,2,5,6,2
0,54,EAS,7,8,7,8,6,5,8,9,5,9
0,63,EAS,8,9,1,6,1,9,5,5,5,5
1,53,CSA,9,9,9,5,5,5,4,8,8,6
0,64,MID,9,9,6,9,6,9,6,9,4,9
0,48,CSA,7,7,6,6,7,2,6,8,5,5
1,45,AFR,8,7,1,7,3,2,5,3,3,5
0,61,AMR,9,9,6,9,9,5,8,8,6,9
0,50,EAS,9,8,1,9,5,5,7,9,5,8
0,46,CSA,6,7,7,9,6,6,8,9,5,8
1,61,AMR,1,1,7,5,4,1,6,5,3,6
1,48,CSA,7,7,1,8,1,6,4,8,5,7
1,41,AMR,7,7,9,9,6,6,5,8,7,5
0,53,CSA,8,9,1,9,3,4,5,8,6,7
0,43,MID,3,2,1,6,1,4,5,1,1,9
1,64,EAS,8,9,8,2,6,5,7,3,4,5
1,62,MID,9,6,1,5,9,7,8,8,4,8
0,42,EAS,9,8,3,5,5,5,5,6,4,9
1,60,CSA,9,5,7,9,5,5,5,9,5,9
1,41,CSA,5,6,3,8,4,5,4,8,3,6
0,50,AFR,8,8,8,9,7,8,7,7,5,8
0,43,AMR,9,9,9,9,8,9,9,7,8,9
1,66,CSA,6,5,5,8,2,1,5,6,2,2
0,50,CSA,8,7,9,8,9,8,9,9,9,8
1,42,CSA,7,7,8,7,6,6,7,8,6,7
1,66,AFR,9,9,7,9,7,7,7,9,5,9
0,44,EAS,5,8,7,9,7,5,8,9,9,8
0,62,AFR,7,7,7,9,8,5,9,6,6,9
0,44,MID,9,9,9,9,5,5,5,6,9,6
1,53,CSA,1,1,6,7,9,8,8,7,8,7
0,45,EAS,7,7,8,8,5,6,9,7,7,8
0,41,EAS,9,9,1,9,5,9,5,9,9,9
0,45,CSA,8,7,5,8,6,5,5,6,6,8
0,56,EAS,8,8,4,9,1,7,1,9,8,8
0,48,AFR,1,1,2,1,3,5,4,6,2,4
1,43,CSA,6,4,8,2,5,4,3,3,5,5
0,43,CSA,9,9,1,9,6,5,9,9,5,5
1,51,AFR,9,8,7,9,8,3,7,5,7,4
1,46,CSA,8,8,6,8,7,7,6,8,8,7
1,44,AFR,1,1,1,7,1,1,8,2,1,9
0,56,AFR,9,9,4,9,5,7,5,8,4,8
1,49,AFR,4,7,4,7,2,4,6,7,4,2
1,46,AMR,9,9,8,9,9,9,9,9,9,9
1,57,MID,8,7,7,6,3,5,6,7,4,6
1,53,AFR,1,1,5,9,5,1,9,5,5,5
0,46,AMR,8,9,9,9,7,6,9,6,9,9
0,50,CSA,9,8,1,6,6,6,3,9,3,8
0,56,MID,9,9,7,5,6,8,5,8,5,8
0,56,CSA,8,8,1,9,7,9,6,4,1,9
0,48,AFR,1,1,1,1,1,1,1,1,2,1
1,59,CSA,8,8,7,9,3,5,7,6,5,7
0,47,CSA,8,8,1,9,5,1,3,9,2,1
0,56,AFR,9,9,9,9,9,8,9,9,7,9
1,47,AMR,9,9,9,9,9,8,7,9,9,8
0,44,AMR,9,9,5,9,6,7,8,7,6,9
0,55,CSA,9,9,9,8,9,8,9,9,8,9
1,48,CSA,8,7,7,8,6,6,7,7,6,6
1,47,AFR,5,6,5,7,5,5,7,7,5,5
0,67,AMR,3,9,7,9,5,8,7,7,9,8
0,51,MID,9,9,1,9,9,9,9,9,9,9
1,49,AMR,7,8,7,7,6,5,6,6,5,6
0,41,EAS,5,7,7,8,8,7,7,8,8,7
0,54,CSA,7,7,6,7,7,4,7,8,5,7
1,61,EAS,6,7,7,5,6,5,8,1,9,7
0,46,AFR,9,9,9,9,9,6,5,9,6,9
0,63,AMR,1,1,1,1,6,1,7,1,1,1
0,42,CSA,7,8,2,6,5,5,8,7,5,6
0,41,EAS,9,8,1,9,1,9,7,9,7,9
0,58,CSA,8,7,1,9,1,9,5,9,1,9
1,54,CSA,9,9,8,9,9,5,8,7,5,9
1,66,CSA,8,8,8,9,8,8,9,8,8,8
0,55,AMR,9,9,4,8,9,5,6,8,5,9
1,43,CSA,5,4,1,2,1,1,5,7,1,3
0,51,EAS,7,6,7,8,5,7,7,7,5,7
0,46,CSA,9,9,5,9,1,5,9,9,1,1
0,40,CSA,9,9,9,8,6,6,9,9,6,7
0,51,AMR,9,9,4,9,8,8,6,9,7,9
0,55,AFR,9,9,9,9,1,1,9,1,5,1
1,48,AFR,9,9,7,9,5,5,7,5,5,9
1,46,CSA,7,9,5,9,4,8,4,9,9,7
0,57,MID,9,9,5,9,7,9,8,9,5,1
0,42,EAS,5,5,3,6,8,8,8,9,7,8
0,47,AFR,6,9,5,8,5,5,4,8,1,6
0,60,CSA,9,8,8,9,3,7,5,8,7,8
1,65,MID,9,8,9,9,9,7,9,9,7,9
0,59,AMR,8,8,8,9,8,7,7,8,7,9
1,62,MID,5,5,1,4,9,1,7,6,8,6
1,50,CSA,9,9,7,8,7,6,7,7,7,8
0,60,EAS,5,7,7,8,9,5,8,8,8,8
0,52,AFR,1,1,5,5,9,1,9,1,1,9
1,61,EAS,6,7,7,8,2,5,6,8,2,7
1,48,EAS,5,5,5,1,6,5,6,7,5,7
0,42,CSA,8,8,1,9,1,8,1,9,6,6
0,47,CSA,1,1,1,2,8,5,5,9,1,5
0,57,CSA,9,9,8,9,9,8,8,9,3,9
0,44,AMR,9,8,7,9,7,9,7,6,8,9
1,53,EAS,6,6,7,7,7,7,7,7,6,8
0,57,EAS,8,7,7,9,7,7,8,9,7,9
1,42,AMR,6,5,4,3,4,2,6,2,1,1
0,68,AFR,2,6,5,9,4,5,6,5,6,8
0,43,EAS,5,7,9,9,8,9,8,9,7,9
0,46,AFR,5,5,7,9,3,1,6,7,1,9
0,69,EAS,8,9,9,9,9,5,9,7,2,8
0,57,EAS,6,7,1,9,2,3,3,8,1,9
1,45,CSA,7,8,5,8,7,7,7,7,3,8
1,60,AMR,8,9,8,9,8,7,8,8,8,8
1,65,CSA,9,9,1,9,1,2,1,9,1,9
1,56,CSA,7,7,2,7,3,1,1,8,1,6
0,41,AFR,1,1,8,9,5,1,8,3,1,2
0,47,AFR,9,9,1,9,7,8,7,2,4,9
1,45,MID,5,8,7,9,6,5,7,1,2,5
1,45,MID,9,9,6,9,9,7,9,9,7,9
1,48,AFR,9,9,3,9,7,6,4,7,9,9
0,57,CSA,5,5,5,5,5,1,1,9,1,1
1,44,CSA,8,8,6,1,8,1,4,7,5,2
1,69,CSA,8,7,6,5,5,4,5,9,5,6
0,41,AFR,8,8,8,5,8,1,6,7,9,9
1,45,EAS,7,8,7,9,7,8,7,7,7,9
1,65,CSA,8,9,9,8,7,5,8,9,2,9
0,50,CSA,8,8,1,7,4,2,5,9,1,5
0,55,CSA,5,5,1,7,1,5,5,1,1,7
1,55,MID,7,7,7,2,8,4,5,8,6,8
0,44,CSA,6,6,8,7,3,6,7,8,7,7
0,56,CSA,5,9,1,9,1,1,9,9,5,9
1,50,EAS,9,9,9,8,5,5,7,9,7,8
1,54,CSA,5,5,1,1,5,1,7,7,5,5
1,40,CSA,2,2,2,2,2,3,6,6,5,4
0,52,AFR,9,8,9,8,9,7,9,9,4,8
1,56,CSA,8,7,5,8,6,5,5,7,5,7
0,58,CSA,9,5,5,9,5,9,5,9,5,9
1,63,AMR,1,1,9,9,3,3,6,4,9,9
1,42,MID,8,8,6,9,8,8,7,7,7,8
1,61,CSA,9,5,5,7,1,5,8,9,5,9
1,66,CSA,2,2,6,5,3,2,7,6,2,3
1,58,EAS,1,1,1,1,1,1,1,1,1,9
0,56,CSA,2,1,1,3,5,1,3,2,2,4
0,57,EAS,8,8,3,6,1,7,4,8,6,9
0,55,EAS,2,7,1,9,1,8,6,9,5,9
1,63,EAS,7,7,6,5,7,5,6,6,7,6
1,42,CSA,9,9,8,9,8,7,8,9,7,7
1,42,EAS,8,9,7,9,8,7,8,9,9,9
1,66,AMR,9,9,7,9,6,2,3,1,5,4
1,44,AFR,5,5,5,5,7,5,5,5,7,5
0,45,EAS,7,7,8,7,9,8,9,9,7,9
1,63,CSA,5,6,6,8,6,6,6,8,6,8
0,68,AFR,1,6,3,9,6,5,6,2,7,6
0,42,CSA,7,8,8,9,7,6,7,8,6,8
1,54,CSA,8,9,1,9,7,5,9,9,5,7
1,43,AFR,7,6,4,6,6,4,7,6,5,5
0,48,EAS,9,9,8,8,5,5,9,9,7,8
1,48,AMR,8,9,7,4,8,8,7,6,9,9
0,43,EAS,6,7,1,9,6,9,6,9,9,9
0,43,AMR,8,7,7,1,7,8,7,7,5,8
0,41,EAS,9,9,7,9,5,6,5,9,6,7
1,59,CSA,9,9,7,9,2,1,7,7,7,9
0,58,EAS,9,9,3,9,3,8,7,9,9,9
1,54,MID,9,8,4,5,1,5,1,8,3,5
1,55,EAS,5,9,5,9,5,5,5,5,9,9
1,41,CSA,9,9,1,9,1,7,1,9,1,7
0,67,EAS,9,8,5,8,1,1,7,8,5,9
1,42,AMR,6,6,1,1,1,3,1,7,5,3
0,51,CSA,8,8,1,7,5,5,7,9,1,8
1,67,CSA,7,7,6,7,6,3,6,7,5,5
0,52,EAS,9,9,9,9,9,9,9,9,9,9
0,58,CSA,9,9,1,9,1,5,1,9,5,9
0,46,AMR,9,9,6,9,6,6,3,5,6,8
0,49,AFR,6,7,7,5,1,5,5,6,6,5
0,51,AFR,6,7,2,8,2,9,1,7,1,8
0,56,CSA,7,6,6,9,9,7,7,7,6,9
0,43,AFR,9,6,1,9,4,4,4,9,4,7
1,49,MID,8,8,1,9,3,1,6,8,6,1
1,58,CSA,9,9,2,9,1,9,1,9,3,9
0,49,EAS,7,6,6,9,1,7,9,9,5,9
0,48,AFR,9,8,3,9,3,7,8,8,6,8
1,61,AFR,9,9,8,9,9,5,8,6,7,9
0,42,AMR,4,6,7,9,9,6,8,4,7,7
1,60,EAS,5,5,8,2,6,2,7,4,3,3
0,67,MID,9,9,9,8,1,9,8,8,9,9
1,62,AFR,9,7,7,9,6,5,9,7,9,7
0,49,AMR,1,1,1,9,1,1,4,5,1,9
1,47,CSA,5,7,3,4,5,5,7,5,5,5
0,40,CSA,6,7,1,7,4,6,6,8,7,7
1,62,EAS,6,6,7,6,6,6,7,7,6,7
1,54,MID,9,9,7,9,7,9,7,8,9,9
1,56,CSA,9,7,9,9,9,5,8,7,6,6
1,68,CSA,3,7,1,8,4,5,5,8,6,8
0,64,CSA,8,7,4,9,5,5,5,9,5,9
0,48,CSA,1,1,1,7,5,1,5,1,1,1
1,45,EAS,7,8,1,5,6,9,7,8,5,7
1,54,MID,8,9,9,9,7,8,9,8,8,9
1,68,CSA,9,9,9,7,7,6,8,8,6,9
0,61,CSA,7,9,1,9,9,9,5,9,8,7
1,52,CSA,7,7,1,7,1,6,1,8,2,7
0,54,EAS,9,9,7,9,7,8,7,9,5,7
0,44,AFR,1,1,1,5,1,1,1,1,1,5
0,57,CSA,9,9,7,9,9,9,8,9,9,9
1,55,CSA,8,8,7,8,7,8,7,7,6,8
1,47,EAS,8,8,6,3,1,8,7,9,9,9
0,49,CSA,8,8,6,9,8,9,7,8,6,9
0,50,CSA,8,9,9,9,9,7,9,9,7,9
0,58,CSA,7,7,7,7,7,3,7,7,1,5
1,59,EAS,8,7,7,6,4,5,6,6,6,8
0,48,EAS,9,9,1,9,9,5,9,9,7,9
1,43,CSA,7,8,8,8,8,3,8,8,7,8
0,55,MID,7,5,8,8,8,3,7,5,7,6
0,58,EAS,1,1,1,6,1,5,5,9,1,9
0,58,MID,9,9,3,9,9,9,4,9,1,9
0,59,CSA,9,9,5,9,7,7,9,8,8,9
1,50,CSA,4,4,4,7,3,4,4,5,4,6
0,43,MID,9,9,1,9,9,5,5,6,1,7
0,57,AFR,9,9,7,9,9,5,4,7,7,9
1,49,CSA,7,7,6,5,7,6,7,7,6,7
1,65,AMR,8,7,5,1,6,1,5,5,5,1
0,67,AMR,8,9,7,9,8,9,8,9,6,9
1,67,EAS,8,8,5,8,8,7,8,9,7,9
0,46,CSA,8,7,2,8,3,7,8,7,6,6
1,65,CSA,7,8,8,6,6,4,6,7,4,6
0,54,CSA,4,6,1,1,1,1,5,5,3,4
0,59,AMR,9,9,9,9,9,7,9,9,9,9
0,51,CSA,7,9,1,3,9,3,9,9,1,1
1,43,EAS,2,2,4,3,4,2,6,5,3,5
1,42,EAS,7,7,9,8,9,7,9,7,8,8
0,46,EAS,7,7,6,8,1,8,6,9,8,9
0,65,AFR,5,9,1,9,1,1,1,9,3,9
0,51,EAS,6,8,8,7,4,3,6,9,6,6
1,55,AFR,9,9,5,9,9,6,5,9,5,9
1,41,CSA,8,8,7,9,8,9,7,8,5,8
0,53,EAS,5,5,8,9,9,6,8,7,1,9
1,60,CSA,9,9,9,9,9,5,9,9,1,9
1,43,AFR,5,5,5,9,9,5,9,5,5,5
0,47,EAS,8,9,8,8,9,9,7,9,8,9
1,48,AFR,9,9,7,9,5,9,5,9,9,9
1,56,CSA,5,6,5,5,5,5,9,8,8,9
0,47,CSA,2,3,1,8,3,5,8,9,5,8
1,44,CSA,7,8,8,8,4,7,8,7,7,7
1,61,CSA,7,8,6,8,8,4,3,9,1,8
1,65,AMR,9,9,5,9,1,5,9,9,9,9
0,45,AFR,6,4,5,9,8,4,7,9,3,9
1,41,CSA,9,9,4,5,6,7,4,8,8,8
1,56,AFR,5,6,1,9,1,5,1,8,3,5
1,57,MID,9,9,2,9,8,8,3,3,9,8
1,43,AFR,5,4,6,5,1,3,6,5,5,5
0,52,CSA,8,6,5,8,5,5,6,9,3,9
1,53,AFR,7,7,1,9,7,6,6,1,4,9
0,50,EAS,7,7,9,9,8,8,8,9,7,7
0,43,EAS,8,8,1,9,1,9,1,9,5,9
1,47,CSA,3,5,1,5,4,5,5,7,5,5
0,59,EAS,7,7,7,7,2,5,4,9,2,8
1,43,AMR,9,9,7,8,7,8,9,6,8,5
0,54,MID,7,9,9,4,7,7,7,5,8,6
0,45,CSA,2,2,3,9,2,5,7,7,4,8
0,48,AFR,9,9,1,9,1,9,5,1,5,9
1,53,CSA,8,8,4,6,4,4,7,8,5,6
0,41,CSA,7,7,8,9,6,5,7,7,3,5
1,56,MID,9,9,9,9,7,7,8,7,5,9
1,50,EAS,8,4,7,9,1,7,8,7,9,9
0,41,AFR,9,9,7,9,6,7,5,9,7,7
0,61,CSA,9,9,5,9,5,1,7,9,1,8
0,45,AFR,2,1,6,8,2,2,6,3,2,2
1,40,CSA,8,8,8,8,8,7,8,8,6,8
1,54,CSA,7,6,3,6,7,7,7,7,7,7
0,57,EAS,3,2,3,4,4,4,8,7,5,9
1,54,MID,9,8,6,9,7,8,8,8,8,8
1,54,CSA,5,6,5,6,5,5,5,8,5,7
0,47,EAS,6,7,6,7,5,5,5,6,5,6
1,58,CSA,7,7,4,9,7,3,4,8,6,8
1,64,MID,8,8,8,9,7,8,8,6,8,8
0,54,AFR,5,5,5,9,5,4,3,2,1,9
0,47,AFR,1,1,1,9,8,6,2,9,7,9
1,53,CSA,8,8,1,7,2,2,1,8,1,2
1,41,MID,9,9,9,9,9,9,9,9,9,9
0,41,CSA,5,9,1,9,5,8,5,8,5,8
1,65,MID,9,9,9,9,9,9,9,9,9,9
1,64,AFR,9,9,7,8,7,7,6,9,7,9
1,50,EAS,4,4,2,3,2,4,3,6,2,6
0,55,AFR,1,1,1,9,1,5,6,1,1,7
1,49,EAS,7,6,4,9,6,9,6,8,7,9
1,68,CSA,8,8,7,7,5,8,9,8,3,9
1,59,CSA,8,8,1,8,1,5,2,8,8,5
0,56,AFR,9,7,8,9,5,5,6,9,5,8
0,61,CSA,9,9,7,9,9,9,9,9,8,9
0,48,CSA,4,3,1,9,4,4,3,6,4,8
0,55,AFR,1,1,9,4,9,3,9,9,9,6
1,68,CSA,9,9,8,6,1,4,5,9,7,9
1,55,AFR,8,9,8,2,2,4,6,7,7,9
0,58,AMR,9,9,1,9,1,9,7,9,8,9
1,68,EAS,5,7,6,3,8,5,7,4,2,8
0,69,AFR,9,8,5,9,8,2,5,7,2,8
0,66,AMR,5,9,4,8,5,9,3,2,8,9
0,46,EAS,7,8,8,8,7,6,8,8,7,9
0,47,EAS,7,6,3,8,3,5,5,6,5,7
0,56,EAS,8,9,9,9,9,9,8,9,9,9
1,64,MID,8,8,7,8,7,5,6,5,7,3
0,62,AFR,8,8,7,9,1,9,7,4,7,9
1,41,CSA,9,8,1,7,7,4,7,7,8,6
1,51,AFR,1,1,5,9,7,2,6,6,1,8
0,63,EAS,4,4,3,5,5,7,7,8,7,9
1,63,CSA,4,7,7,7,8,7,7,8,7,8
0,44,AFR,8,8,7,7,7,5,8,7,5,6
1,52,MID,9,8,7,9,6,2,6,5,9,9
0,40,CSA,9,8,4,9,5,6,4,9,1,9
1,58,MID,8,9,6,9,9,9,8,9,6,8
1,43,EAS,9,9,8,2,6,3,9,3,2,1
0,59,CSA,9,9,5,9,2,9,6,9,9,9
1,56,MID,3,9,1,8,5,4,7,5,9,9
0,42,AFR,1,1,1,9,5,5,7,5,5,9
0,67,MID,8,8,5,8,8,9,7,8,7,9
0,53,EAS,9,8,1,9,1,8,8,9,7,9
1,44,CSA,6,7,5,4,5,4,5,7,4,5
1,61,CSA,5,5,5,9,1,5,1,9,5,9
1,54,CSA,7,7,7,6,7,5,7,7,3,6
1,62,CSA,8,8,8,7,7,5,7,8,7,8
0,53,AFR,9,9,9,9,7,8,6,1,7,8
0,53,EAS,7,5,7,5,3,5,5,7,5,5
1,50,CSA,6,6,2,7,6,4,6,3,5,6
0,46,EAS,9,9,9,9,9,9,9,9,5,9
1,66,CSA,9,8,9,9,5,8,7,9,9,9
0,50,MID,9,9,9,9,9,9,9,5,9,9
0,49,CSA,7,8,6,7,6,7,7,9,8,8
0,43,EAS,9,8,2,7,8,7,5,9,6,3
1,61,CSA,5,5,8,8,5,8,7,8,2,8
1,54,CSA,9,9,1,9,9,5,9,9,7,9
0,43,AFR,9,9,9,9,8,7,7,7,8,8
1,54,CSA,9,9,5,9,9,9,8,8,8,9
0,45,AFR,9,9,6,9,7,2,8,4,1,3
1,67,CSA,9,9,5,9,4,7,8,8,6,9
0,65,CSA,8,7,3,9,5,8,5,9,5,9
0,49,CSA,6,3,6,8,6,2,6,8,1,4
